id,mobile,province,city,content,create_time
97,1300111,1,1,中国联通GSM,"2014-05-21 12:39:43"
98,1300112,1,1,中国联通GSM,"2014-05-21 12:39:43"
99,1300113,1,1,中国联通GSM,"2014-05-21 12:39:43"
100,1300114,1,1,中国联通GSM,"2014-05-21 12:39:43"
101,1300115,1,1,中国联通GSM,"2014-05-21 12:39:43"
102,1300116,1,1,中国联通GSM,"2014-05-21 12:39:43"
103,1300117,1,1,中国联通GSM,"2014-05-21 12:39:43"
104,1300118,1,1,中国联通GSM,"2014-05-21 12:39:43"
105,1300119,1,1,中国联通GSM,"2014-05-21 12:39:43"
106,1300120,1,1,中国联通GSM,"2014-05-21 12:39:43"
107,1300121,1,1,中国联通GSM,"2014-05-21 12:39:43"
108,1300122,1,1,中国联通GSM,"2014-05-21 12:39:43"
109,1300123,1,1,中国联通GSM,"2014-05-21 12:39:43"
110,1300124,1,1,中国联通GSM,"2014-05-21 12:39:43"
111,1300125,1,1,中国联通GSM,"2014-05-21 12:39:43"
112,1300126,1,1,中国联通GSM,"2014-05-21 12:39:43"
113,1300127,1,1,中国联通GSM,"2014-05-21 12:39:43"
114,1300128,1,1,中国联通GSM,"2014-05-21 12:39:43"
115,1300129,1,1,中国联通GSM,"2014-05-21 12:39:43"
116,1300130,2,2,中国联通GSM,"2014-05-21 12:39:43"
117,1300131,2,2,中国联通GSM,"2014-05-21 12:39:43"
118,1300132,2,2,中国联通GSM,"2014-05-21 12:39:43"
119,1300133,2,2,中国联通GSM,"2014-05-21 12:39:43"
120,1300134,2,2,中国联通GSM,"2014-05-21 12:39:43"
121,1300135,2,2,中国联通GSM,"2014-05-21 12:39:43"
122,1300136,2,2,中国联通GSM,"2014-05-21 12:39:43"
123,1300137,2,2,中国联通GSM,"2014-05-21 12:39:43"
124,1300138,2,2,中国联通GSM,"2014-05-21 12:39:43"
125,1300139,2,2,中国联通GSM,"2014-05-21 12:39:43"
126,1300140,3,3,中国联通GSM,"2014-05-21 12:39:43"
127,1300141,3,6,中国联通GSM,"2014-05-21 12:39:43"
128,1300142,3,11,中国联通GSM,"2014-05-21 12:39:43"
